timestamp|duration_mins|date_description|meeting_name
20260701T1800|180|2026/07/01 18:00 - 21:00 (Wednesday)|Club Secretary Essentials
20260702T1800|180|2026/07/02 18:00 - 21:00 (Thursday)|Club Treasurer Essentials
20260705T1800|120|2026/07/05 18:00 - 20:00 (Sunday)|East Coast Lions
20260707T1800|180|2026/07/07 18:00 - 21:00 (Tuesday)|Club President Essentials
20260709T1900|90|2026/07/09 19:00 - 20:30 (Thursday)|Generic Meeting
20260715T1900|90|2026/07/15 19:00 - 20:30 (Wednesday)|GMT/GET Meeting
20260721T1800|180|2026/07/21 18:00 - 21:00 (Tuesday)|Lion Portal Training 1
20260725T1430|180|2026/07/25 14:30 - 17:30 (Saturday)|Cabinet Meeting 1
20260727T1900|120|2026/07/27 19:00 - 21:00 (Monday)|Strengthen 410E
20260730T1800|180|2026/07/30 18:00 - 21:00 (Thursday)|Marketing training
20260813T1900|90|2026/08/13 19:00 - 20:30 (Thursday)|Generic Meeting
20260817T1900|90|2026/08/17 19:00 - 20:30 (Monday)|Long Range Planning Meeting
20260819T1900|90|2026/08/19 19:00 - 20:30 (Wednesday)|GMT/GET Meeting
20260825T1800|180|2026/08/25 18:00 - 21:00 (Tuesday)|Member Orientation (Lions 101) 1
20260831T1900|120|2026/08/31 19:00 - 21:00 (Monday)|Strengthen 410E
20260910T1900|90|2026/09/10 19:00 - 20:30 (Thursday)|Generic Meeting
20260916T1900|90|2026/09/16 19:00 - 20:30 (Wednesday)|GMT/GET Meeting
20260921T1900|90|2026/09/21 19:00 - 20:30 (Monday)|Long Range Planning Meeting
20260928T1900|120|2026/09/28 19:00 - 21:00 (Monday)|Strengthen 410E
20260929T1800|180|2026/09/29 18:00 - 21:00 (Tuesday)|Zoom training
20261008T1900|90|2026/10/08 19:00 - 20:30 (Thursday)|Generic Meeting
20261021T1900|90|2026/10/21 19:00 - 20:30 (Wednesday)|GMT/GET Meeting
20261026T1900|120|2026/10/26 19:00 - 21:00 (Monday)|Strengthen 410E
20261106T1400|180|2026/11/06 14:00 - 17:00 (Friday)|Cabinet Meeting 2
20261112T1900|90|2026/11/12 19:00 - 20:30 (Thursday)|Generic Meeting
20261116T1900|90|2026/11/16 19:00 - 20:30 (Monday)|Long Range Planning Meeting
20261118T1900|90|2026/11/18 19:00 - 20:30 (Wednesday)|GMT/GET Meeting
20261124T1800|180|2026/11/24 18:00 - 21:00 (Tuesday)|Club President Mid-Year Review
20261130T1900|120|2026/11/30 19:00 - 21:00 (Monday)|Strengthen 410E
20261203T1900|90|2026/12/03 19:00 - 20:30 (Thursday)|MD410 Club Membership Chair Forum
20261210T1900|90|2026/12/10 19:00 - 20:30 (Thursday)|Generic Meeting
20261216T1900|90|2026/12/16 19:00 - 20:30 (Wednesday)|GMT/GET Meeting
20261228T1900|120|2026/12/28 19:00 - 21:00 (Monday)|Strengthen 410E
20270114T1900|90|2027/01/14 19:00 - 20:30 (Thursday)|Generic Meeting
20270118T1900|90|2027/01/18 19:00 - 20:30 (Monday)|Long Range Planning Meeting
20270119T1800|180|2027/01/19 18:00 - 21:00 (Tuesday)|Lion Portal Training 2
20270120T1900|90|2027/01/20 19:00 - 20:30 (Wednesday)|GMT/GET Meeting
20270125T1900|120|2027/01/25 19:00 - 21:00 (Monday)|Strengthen 410E
20270127T1800|180|2027/01/27 18:00 - 21:00 (Wednesday)|Leadership Toolkit Training 1
20270211T1900|90|2027/02/11 19:00 - 20:30 (Thursday)|Generic Meeting
20270217T1900|90|2027/02/17 19:00 - 20:30 (Wednesday)|GMT/GET Meeting
20270222T1900|120|2027/02/22 19:00 - 21:00 (Monday)|Strengthen 410E
20270223T1800|180|2027/02/23 18:00 - 21:00 (Tuesday)|Member Orientation (Lions 101) 2
20270224T1800|180|2027/02/24 18:00 - 21:00 (Wednesday)|Leadership Toolkit Training 2
20270227T0800|480|2027/02/27 08:00 - 16:00 (Saturday)|Cabinet Meeting 3
20270304T1900|90|2027/03/04 19:00 - 20:30 (Thursday)|MD410 Club Membership Chair Forum
20270311T1900|90|2027/03/11 19:00 - 20:30 (Thursday)|Generic Meeting
20270315T1900|90|2027/03/15 19:00 - 20:30 (Monday)|Long Range Planning Meeting
20270317T1900|90|2027/03/17 19:00 - 20:30 (Wednesday)|GMT/GET Meeting
20270324T1800|180|2027/03/24 18:00 - 21:00 (Wednesday)|Leadership Toolkit Training 3
20270329T1900|120|2027/03/29 19:00 - 21:00 (Monday)|Strengthen 410E
20270403T0800|300|2027/04/03 08:00 - 13:00 (Saturday)|Guiding Lions Training
20270408T1900|90|2027/04/08 19:00 - 20:30 (Thursday)|Generic Meeting
20270419T1900|90|2027/04/19 19:00 - 20:30 (Monday)|Long Range Planning Meeting
20270421T1900|90|2027/04/21 19:00 - 20:30 (Wednesday)|GMT/GET Meeting
20270426T1900|120|2027/04/26 19:00 - 21:00 (Monday)|Strengthen 410E
20270429T0800|480|2027/04/29 08:00 - 16:00 (Thursday)|Cabinet Meeting 4
20270513T1900|90|2027/05/13 19:00 - 20:30 (Thursday)|Generic Meeting
20270519T1900|90|2027/05/19 19:00 - 20:30 (Wednesday)|GMT/GET Meeting
20270529T0800|300|2027/05/29 08:00 - 13:00 (Saturday)|Incoming Cabinet Officers Training
20270531T1900|120|2027/05/31 19:00 - 21:00 (Monday)|Strengthen 410E
20270603T1900|90|2027/06/03 19:00 - 20:30 (Thursday)|MD410 Club Membership Chair Forum
20270610T1900|90|2027/06/10 19:00 - 20:30 (Thursday)|Generic Meeting
20270616T1900|90|2027/06/16 19:00 - 20:30 (Wednesday)|GMT/GET Meeting
20270621T1900|90|2027/06/21 19:00 - 20:30 (Monday)|Long Range Planning Meeting
20270626T0800|360|2027/06/26 08:00 - 14:00 (Saturday)|Incoming Club Officers Training
20270628T1900|120|2027/06/28 19:00 - 21:00 (Monday)|Strengthen 410E
20260720T1900|90|2026/07/20 19:00 - 20:30 (Monday)|Rebuilding Free State
